appliance,standard,channel width,Wifi dir,clients,channel,tx,rx,chamber,offered load,frame size,distance from ant (cm),antenna slant,orientation,Total Rx Count (Mbis),duration,Throughput,client ant,txpower (dBm)
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,,44318,60,739,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,,43650,60,728,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,,43493,60,725,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,,28682,60,478,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,,28717,60,479,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,30,33657,60,561,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,20,40538,60,676,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,10,40132,60,669,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,0,42552,60,709,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,350,38608,60,643,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,340,46040,60,767,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,330,45646,60,761,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,320,45954,60,766,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,310,46463,60,774,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,300,44242,60,737,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,290,52490,60,875,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,280,41935,60,699,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,270,35674,60,595,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,260,40800,60,680,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,250,46247,60,771,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,240,44564,60,743,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,230,42892,60,715,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,220,46631,60,777,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,210,46653,60,778,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,200,38529,60,642,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,190,44235,60,737,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,180,35470,60,591,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,170,35973,60,600,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,160,30458,60,508,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,150,28975,60,483,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,140,25368,60,423,0,20
v0,802.11ac,80,rx,1,0,0,0,closed,1000,1518,50,0,130,25363,60,423,0,20
